0,2020 NISSAN,PATHFINDER,SL Sport Utility 4D ,"V6, 3.5 Liter",20 City / 27 Hwy,Gray,Black,"Automatic, Xtronic CVT",4 Door SUV,2,"$25,990"," 13,152 miles"
1,2015 VOLKSWAGEN,PASSAT,1.8T SE Sedan 4D,"4-Cyl, Turbo, 1.8 Liter",24 City / 36 Hwy,Gray,Black,"Auto, 6-Spd Tiptronic Spt",4 Door Sedan,2,"$13,590","75,623 miles"
2,2018 SUBARU,CROSSTREK,2.0i Premium Sport Utility 4D,"4-Cyl, PZEV, 2.0 Liter",27 City / 33 Hwy,Blue,Gray,"Auto, CVT W/Lineartronic",4 Door SUV,2,"$21,590","32,020 miles"
3,2015 MAZDA,MAZDA6,i Touring Sedan 4D,4Cyl PZEV SKYACTIV-G 2.5L,28 City / 40 Hwy,Black,Black,"Auto, 6-Spd SKYACTIV Man",4 Door Sedan,1,"$16,590","33,500 miles"
4,2017 INFINITI,QX50,Sport Utility 4D,"V6, 3.7 Liter",17 City / 24 Hwy,Black,Wheat,"Auto, 7-Spd Rev Matching",4 Door SUV,1,"$20,990","43,337 miles"
5,2018 TOYOTA,PRIUS,Two Eco Hatchback 4D,"4-Cyl, Hybrid, 1.8 Liter",58 City / 53 Hwy,Gray,Black,"Automatic, ECVT",4 Door Hatchback,1,"$18,990","43,897 miles"
6,2011 MINI,COUNTRYMAN,Cooper S ALL4 Hatchback 4D,"4-Cyl, Turbo, 1.6 Liter",23 City / 30 Hwy,Silver,Red/Carbon Black Clth Lth,"Auto, 6-Spd Steptronic",4 Door Hatchback,1,"$14,590","68,140 miles"
7,2019 TOYOTA,CAMRY HYBRID,SE Sedan 4D,"4-Cyl, Hybrid, 2.5 Liter",44 City / 47 Hwy,White,Gray,"Automatic, ECVT",4 Door Sedan,1,"$25,590","19,106 miles"
8,2015 HYUNDAI,GENESIS,5.0 Sedan 4D,"V8, 5.0 Liter",15 City / 23 Hwy,White,Black,"Auto, 8-Spd Shiftronic",4 Door Sedan,1,"$23,990","771,617 miles"
9,2018 BUICK,ENVISION,Essence Sport Utility 4D,"4-Cyl, 2.5 Liter",22 City / 29 Hwy,White,Ebony,"Auto, 6-Spd W/DSC",4 Door SUV,1,"$21,990","35,530 miles"
10,2019 MINI,HARDTOP 2 DOOR,Cooper Hatchback 2D,"3-Cyl, Turbo, 1.5 Liter",27 City / 35 Hwy,White,Carbon Black,"Automatic, 6-Spd W/Steptronic",2 Door Hatchback,2,"$20,990","8,328 miles"
11,2019 AUDI,A3,Premium Sedan 4D,"4-Cyl, Turbo, 2.0 Liter",26 City / 35 Hwy,Gray,Black,"Automatic, 7-Spd W/Dual-Clutch & S Tronic",4 Door Sedan,2,"$25,990","12,190 miles"
12,2015 NISSAN,XTERRA,S Sport Utility 4D,"V6, 4.0 Liter",16 City / 22 Hwy,Gray,Dk. Gray,"Automatic, 5-Spd",4 Door SUV,2,"$18,990","48,866 miles"
13,2019 VOLKSWAGEN,TIGUAN,2.0T S Sport Utility 4D,"4-Cyl, Turbo, 2.0 Liter",22 City / 29 Hwy,Blue,Gray,"Automatic, 8-Spd W/Tiptronic & Sport Mode",4 Door SUV,1,"$19,990","19,953 miles"
